dataset,image,beta,mask_area_pct,n_boxes,best_beta
VOC,000001,0.6,0.1,3,0.35
VOC,000001,0.55,0.1,3,0.35
VOC,000001,0.5,0.2,3,0.35
VOC,000001,0.45,0.4,3,0.35
VOC,000001,0.4,0.8,3,0.35
VOC,000001,0.35,1.6,4,0.35
VOC,000001,0.3,2.5,4,0.35
VOC,000001,0.25,4.1,3,0.35
VOC,000001,0.2,5.9,2,0.35
VOC,000001,0.15,9.0,1,0.35
VOC,000006,0.55,0.0,2,0.2
VOC,000006,0.5,0.1,2,0.2
VOC,000006,0.45,0.2,3,0.2
VOC,000006,0.4,0.3,3,0.2
VOC,000006,0.35,0.4,3,0.2
VOC,000006,0.3,0.7,3,0.2
VOC,000006,0.25,1.4,3,0.2
VOC,000006,0.2,2.6,5,0.2
VOC,000006,0.15,5.6,4,0.2
VOC,000008,0.6,0.0,6,0.35
VOC,000008,0.55,0.1,5,0.35
VOC,000008,0.5,0.2,5,0.35
VOC,000008,0.45,0.3,6,0.35
VOC,000008,0.4,0.4,5,0.35
VOC,000008,0.35,0.7,7,0.35
VOC,000008,0.3,1.0,7,0.35
VOC,000008,0.25,1.7,7,0.35
VOC,000008,0.2,3.4,7,0.35
VOC,000008,0.15,5.8,6,0.35
VOC,000008,0.1,10.3,4,0.35
VOC,000010,0.6,0.0,2,0.45
VOC,000010,0.55,0.1,1,0.45
VOC,000010,0.5,0.2,2,0.45
VOC,000010,0.45,0.3,3,0.45
VOC,000010,0.4,0.5,3,0.45
VOC,000010,0.35,0.8,1,0.45
VOC,000010,0.3,1.5,2,0.45
VOC,000010,0.25,2.6,2,0.45
VOC,000010,0.2,5.1,2,0.45
VOC,000010,0.15,9.9,2,0.45
VOC,000011,0.65,0.0,0,0.25
VOC,000011,0.6,0.0,0,0.25
VOC,000011,0.55,0.1,0,0.25
VOC,000011,0.5,0.2,1,0.25
VOC,000011,0.45,0.3,1,0.25
VOC,000011,0.4,0.4,2,0.25
VOC,000011,0.35,0.6,1,0.25
VOC,000011,0.3,0.8,1,0.25
VOC,000011,0.25,1.0,3,0.25
VOC,000011,0.2,1.4,2,0.25
VOC,000011,0.15,2.0,1,0.25
VOC,000011,0.1,4.2,2,0.25
VOC,000014,0.75,0.0,1,0.35
VOC,000014,0.7,0.0,1,0.35
VOC,000014,0.65,0.0,1,0.35
VOC,000014,0.6,0.0,1,0.35
VOC,000014,0.55,0.1,1,0.35
VOC,000014,0.5,0.2,2,0.35
VOC,000014,0.45,0.3,2,0.35
